,name,date,content
0,L***a,3 weeks ago,"Convenient and easy to prepare, Great source of vitamins and minerals,"
1,Lau M.,1 week ago,"Taste:  traditional taste of milk Perfect for hot or cold weather, Perfect for breakfast, 
Why reduce to 1.4kg now??"
2,K***.,1 week ago,"Great source of vitamins and minerals, Rich chocolate flavor, Ideal for sports and physical activities, expiry 13.06.2026."
3,T***.,2 weeks ago,"Keeps me refreshed throughout the day, Great source of vitamins and minerals, Perfect for breakfast,"
4,Rodney T.,3 weeks ago,"good received today packaging good condition but haven't taste yet hopefully Rich chocolate flavor, A classic favorite for all ages,"
5,P***.,1 week ago,"Super fast and safety delivery, a classic favorite for all ages, delicious and energizing drink. "
6,Ong C.,06 Feb 2025,Good product quality and good value for money and thanks for the fast delivery. Expiry date is 13.6.2026 
7,S***.,08 Feb 2025,"Provides a boost of energy, Keeps me refreshed throughout the day, Convenient and easy to prepare,  "
8,H***.,06 Feb 2025,"Great source of vitamins and minerals, Convenient and easy to prepare, Delicious and energizing drink,  "
9,G***.,04 Feb 2025,"Great source of vitamins and minerals, Perfect for breakfast, Convenient and easy to prepare, Ideal for sports and physical activities,  "
10,S***.,2 weeks ago,"Rich chocolate flavor, Keeps me refreshed throughout the day. Tq seller :) "
11,J***a,1 week ago,"Great source of vitamins and minerals, Delicious and energizing drink,  "
12,Steven T.,01 Feb 2025,"Taste:Delicious and energizing drink, 

 Nutritional Value:Rich chocolate flavor, 
 Ease of Preparation:yes super eady "
13,K***h,27 Jan 2025,"Ideal for sports and physical activities, Keeps me refreshed throughout the day, Provides a boost of energy,  "
14,L***g,24 Jan 2025,"Great source of vitamins and minerals, Keeps me refreshed throughout the day, Perfect for breakfast,  "
15,shumaine C.,3 weeks ago,"Provides a boost of energy, Ideal for sports and physical activities,  "
16,MeiYun L.,06 Feb 2025,"Kegemaran klasik untuk semua peringkat umur, Sesuai untuk sukan dan aktiviti fizikal,  "
17,Emily L.,09 Feb 2025,"Keeps me refreshed throughout the day, Ideal for sports and physical activities,  "
18,T***.,23 Jan 2025,"Great source of vitamins and minerals, Ideal for sports and physical activities,  "
19,a***.,2 weeks ago,Very good packaging fast delivery  
20,Siew W.,17 Dec 2024,"Great source of vitamins and minerals, A classic favorite for all ages, Perfect for hot or cold weather,  "
21,Tee B.,15 Dec 2024,"Provides a boost of energy, A classic favorite for all ages, Great source of vitamins and minerals, Ideal for sports and physical activities,  "
22,Chloe L.,22 Jan 2025,"A classic favorite for all ages, Provides a boost of energy,  "
23,H***.,04 Dec 2024,"Delicious and energizing drink, Convenient and easy to prepare, A classic favorite for all ages, Provides a boost of energy,  "
24,L***.,13 Dec 2024,"Perfect for hot or cold weather, Rich chocolate flavor, Great source of vitamins and minerals,  "
